person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y
1.1893399883947835,1.3046067768446665,-0.44166749410152784,0.8612765294875796,1.8616059188343512,-0.5652137173564523,0.30236286474931146,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.21448197993636084,0.6418864877502489,0.31453574037887405,0.46451172321237477,-0.011413878028100753,-0.37829631662050656,1.0461583863826318,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.760376028522062,-0.6263059249092001,-0.6937352389283284,-1.1225475018884445,1.5083893827478334,-0.9390485188283437,-0.4414326568840089,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.9228523632651324,0.17904962406351813,0.31453574037887405,-0.09095900557291199,-1.2590135697098381,-0.4717550169884795,-0.9372963379728891,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.9514376790269816,1.8867915110418123,1.070738974859276,2.4483357545883986,0.99962795003606,-0.19137891588456088,6.004795197271434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.5978996937789914,-0.4807597413599137,-0.18959974927472723,0.9565000829936288,0.5978036337541498,1.9581711925788152,-0.6893644974284491,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.5978996937789914,-0.5545031410248855,0.06246799555207342,0.5438646844674158,-1.3335454993427729,1.6777950914748962,-0.9372963379728891,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.27294702429285056,-0.21683599519054098,-0.18959974927472723,-0.2496649280829939,0.8991718709655829,-0.19137891588456088,-0.4414326568840089,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.21448197993636084,0.7805628914360091,-1.1978707285819297,1.55958258853194,-0.011413878028100753,0.0889971852193577,0.05443102420487134,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.9228523632651324,-0.931525974890957,-1.1978707285819297,-1.178094574766973,-0.011413878028100753,-0.4717550169884795,-0.4414326568840089,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
